,ID,API_NUMBER,TOP,BOTTOM,FORMATION_SHORT,LITHOLOGY,COLOR,CONSISTENCY,MOD1,MOD2,INTERPRETED,COMPLETED,SURF_ELEV_ft,LATITUDE,LONGITUDE,TOP_ELEV_ft,BOT_ELEV_ft,Target
0,0,120272710499,0.0,20.0,clay brown,CLAY,BROWN,,,,CLAY,1.0,578.1900000000003,38.73333800024576,-89.93335999944668,578.1900000000003,558.1900000000002,0
2,2,120272710499,40.0,44.0,"clay gray, sticky",CLAY,GRAY,STICKY,,,CLAY,-1.0,578.1900000000003,38.73333800024576,-89.93335999944668,538.1900000000002,534.1900000000002,0
10,10,121190016099,0.0,24.0,"clay, yellow",CLAY,,,,,CLAY,1.0,541.98,38.72528999976657,-90.00407099955713,541.98,517.98,0
12,12,121190016099,60.0,72.0,"clay, blue",CLAY,BLUE,,,,CLAY,1.0,541.98,38.72528999976657,-90.00407099955713,481.98,469.98,0
22,22,121190016200,0.0,40.0,sandy clay,CLAY WITH SAND,,,,,SAND AND CLAY MIX,1.0,456.62,38.73078600027267,-90.00413100023748,456.62,416.62,0
32,32,121190016299,0.0,60.0,"clay, yellow, sandy",CLAY,YELLOW,,SANDY,,CLAY,-1.0,531.3,38.73085599995909,-89.99809100033963,531.3,471.3,0
33,33,121190016299,60.0,85.0,"clay, blue",CLAY,BLUE,,,,CLAY,1.0,531.3,38.73085599995909,-89.99809100033963,471.3,446.3,0
43,43,121190017500,4.0,29.0,"clay, yellow",CLAY,,,,,CLAY,1.0,529.33,38.887059999727576,-90.05967399947382,525.33,500.33,0
44,44,121190017500,29.0,33.0,"sand, soft",SAND,,SOFT,,,SAND,-1.0,529.33,38.887059999727576,-90.05967399947382,500.33,496.33,1
48,48,121190022500,64.0,73.0,"clay, blue",CLAY,BLUE,,,,CLAY,1.0,507.86,38.91943399977313,-90.05061400009541,443.86,434.86,0
62,62,121190006399,16.0,29.0,"sand & gravel, loose",SAND AND GRAVEL,,LOOSE,,,GRAVEL,-1.0,505.55,38.9288709998264,-90.05974600045681,489.55,476.55,1
63,63,121190006399,29.0,35.0,"clay, gray, sandy",CLAY,GRAY,,SANDY,,CLAY,-1.0,505.55,38.9288709998264,-90.05974600045681,476.55,470.55,0
64,64,121190006399,35.0,80.0,"clay, blue, sandy",CLAY,GRAY,,SANDY,,CLAY,-1.0,505.55,38.9288709998264,-90.05974600045681,470.55,425.55,0
66,66,121190006499,11.0,20.0,"sand, loose",SAND,,LOOSE,,,SAND,-1.0,464.85,38.92432200010038,-90.05736299988872,453.85,444.85,1
74,74,121190008800,3.0,18.0,clay,CLAY,,,,,CLAY,1.0,569.3200000000003,38.77834299959209,-89.91563100050043,566.3200000000003,551.3200000000002,0
75,75,121190008800,18.0,37.0,"clay, sandy",CLAY,,,SANDY,,CLAY,-1.0,569.3200000000003,38.77834299959209,-89.91563100050043,551.3200000000002,532.3200000000002,0
76,76,121190008800,37.0,48.0,sand,SAND,,,,,SAND,-1.0,569.3200000000003,38.77834299959209,-89.91563100050043,532.3200000000002,521.3200000000002,1
101,101,121190009199,2.0,5.0,clay,CLAY,,,,,CLAY,1.0,561.73,38.76816500013228,-89.92072699954754,559.73,556.73,0
102,102,121190009199,5.0,9.0,sand,SAND,,,,,SAND,-1.0,561.73,38.76816500013228,-89.92072699954754,556.73,552.73,1
103,103,121190009199,9.0,23.0,sandy clay,CLAY WITH SAND,,,,,SAND AND CLAY MIX,1.0,561.73,38.76816500013228,-89.92072699954754,552.73,538.73,0
104,104,121190009199,23.0,30.0,sand,SAND,,,,,SAND,-1.0,561.73,38.76816500013228,-89.92072699954754,538.73,531.73,1
105,105,121190009199,30.0,40.0,sandy clay,CLAY WITH SAND,,,,,SAND AND CLAY MIX,1.0,561.73,38.76816500013228,-89.92072699954754,531.73,521.73,0
121,121,121190001400,0.0,25.0,"clay, red, sandy",CLAY,RED,,SANDY,,CLAY,-1.0,532.81,38.930069999994714,-90.03065599992384,532.81,507.81,0
