ID,API_NUMBER,LATITUDE,LONGITUDE,SURF_ELEV_ft,TOP,BOTTOM,FORMATION_SHORT,LITHOLOGY,COLOR,CONSISTENCY,MOD1,MOD2,INTERPRETED,COMPLETED,TOP_ELEV_ft,BOT_ELEV_ft
0,121332259400.0,38.4482360002,-90.2279369999,506.16101069999996,0.0,20.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,506.16101069999996,486.16101069999996
1,121332184000.00002,38.4482119998,-90.2255529996,467.8640137,0.0,67.0,dirt,DIRT,,,,,SOIL,1.0,467.8640137,400.8640137
2,121330018000.0,38.445277,-90.20551299959999,466.5480041999999,0.0,64.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,466.5480041999999,402.5480041999999
3,121332109500.00003,38.4517640004,-90.2111629995,494.6589966,0.0,56.0,overburden,DRIFT,,,,,GENERIC,1.0,494.6589966,438.6589966
4,121332291999.99998,38.440691,-90.20428099989999,501.75500489999996,0.0,30.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,501.75500489999996,471.75500489999996
5,121330010200.00002,38.4479910002,-90.1996980003,475.99600219999996,0.0,39.0,clay,CLAY,,,,,CLAY,1.0,475.99600219999996,436.99600219999996
6,121332109799.99998,38.4406769999,-90.20192900010001,505.58801270000004,0.0,48.0,overburden,DRIFT,,,,,GENERIC,1.0,505.58801270000004,457.58801270000004
7,121330052899.99998,38.4412880002,-90.19122900010001,532.8200072999999,0.0,28.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,532.8200072999999,504.82000729999993
8,121330039399.99998,38.441561000300005,-90.181985,574.6569824,0.0,2.0,soil,SOIL,,,,,SOIL,1.0,574.6569824,572.6569824
9,121332131299.99995,38.440657,-90.18785599969999,516.7639771,0.0,22.0,overburden,DRIFT,,,,,GENERIC,1.0,516.7639771,494.76397710000003
10,121632973000.0,38.4514980003,-90.1738570004,668.9249877999999,0.0,38.0,clay,CLAY,,,,,CLAY,1.0,668.9249877999999,630.9249877999999
11,121332271499.99997,38.449679,-90.1738680005,674.0969848999999,0.0,38.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,674.0969848999999,636.0969848999999
12,121632399299.99997,38.4510179998,-90.1700719996,658.8530272999999,0.0,15.0,clay,CLAY,,,,,CLAY,1.0,658.8530272999999,643.8530272999999
13,121632694700.00002,38.4514560003,-90.1669120002,665.3549805,0.0,37.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,665.3549805,628.3549805
14,121632582700.00005,38.4477289998,-90.1600769997,679.9650268999999,0.0,65.0,clay,CLAY,,,,,CLAY,1.0,679.9650268999999,614.9650268999999
15,121330014899.99998,38.459617,-90.25788099959999,409.6090088,0.0,350.0,"lime, gray, hard",BEDROCK,GRAY,HARD,LIMESTONE,,BEDROCK,-1.0,409.6090088,59.609008800000026
16,121332090200.00002,38.4610669996,-90.2446160001,408.79699710000006,0.0,40.0,clay,CLAY,,,,,CLAY,1.0,408.79699710000006,368.79699710000006
17,121332090299.99998,38.4575859996,-90.2351699995,405.9440002,0.0,50.0,over,UNKNOWN,,,,,UNKNOWN,1.0,405.9440002,355.9440002
18,121332166099.99995,38.4628880002,-90.23281900040001,410.1759949,0.0,25.0,clay,CLAY,,,,,CLAY,1.0,410.1759949,385.1759949
19,121332186400.0,38.452008000300005,-90.2327359996,408.0079956,0.0,36.0,clay,CLAY,,,,,CLAY,1.0,408.0079956,372.0079956
20,121332317600.00002,38.459211000399996,-90.2232259995,477.05899050000005,0.0,1.0,"Modern soil A and Bw horizon in Peoria Silt, weak-moderately soil structure",,,,,,,,477.05899050000005,476.05899050000005
21,121332318599.99998,38.457873999899995,-90.2238169995,480.4490051,0.0,15.0,"Peoria Silt, oxidized, yellow-brown, moderately dolomitic, contains modern soil at top (inaccessible)",,,,,,,,480.4490051,465.4490051
22,121332109599.99998,38.454152,-90.2257990003,463.8770142,0.0,50.0,overburden,DRIFT,,,,,GENERIC,1.0,463.8770142,413.8770142
23,121332251400.0,38.455696999699995,-90.23037599979999,407.51800539999994,0.0,25.0,silt,SILT,,,,,SILT,1.0,407.51800539999994,382.51800539999994
24,121330045200.0,38.4629419998,-90.22322199989999,426.17099,0.0,7.0,soft gray mottled silty clay,,,,,,,,426.17099,419.17099
25,121332166200.00002,38.4592099997,-90.22322799950001,477.1380005,0.0,6.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,477.1380005,471.1380005
26,121332166499.99998,38.455592999699995,-90.22320899969999,482.5490112,0.0,48.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,482.5490112,434.5490112
27,121332130899.99997,38.4536000001,-90.2257970003,504.69100949999995,0.0,67.0,overburden,DRIFT,,,,,GENERIC,1.0,504.69100949999995,437.69100949999995
28,121332065900.00005,38.4626869998,-90.2114709998,433.3410034,0.0,45.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,433.3410034,388.3410034
29,121332129800.00002,38.458963,-90.20496700049999,453.25399780000004,0.0,26.0,over,UNKNOWN,,,,,UNKNOWN,1.0,453.25399780000004,427.25399780000004
30,121332129900.00003,38.459008,-90.2045039998,455.24700930000006,0.0,36.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,455.24700930000006,419.24700930000006
31,121332147500.00002,38.455819,-90.1981309997,472.4750061000001,0.0,18.0,brown clay,CLAY,BROWN,,,,CLAY,1.0,472.4750061000001,454.4750061000001
32,121332148800.00002,38.4625789997,-90.1997629998,458.2900085,0.0,21.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,458.2900085,437.2900085
33,121332148899.99997,38.4625789997,-90.1997629998,458.2900085,0.0,21.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,458.2900085,437.2900085
34,121332151100.00002,38.455786000399996,-90.1944130003,545.0369873,0.0,1.0,topsoil brown,SOIL,BROWN,,,,SOIL,-1.0,545.0369873,544.0369873
35,121332151300.00002,38.4571750002,-90.2022030004,460.3819885,0.0,48.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,460.3819885,412.3819885
36,121332163100.00005,38.4588970004,-90.1926769996,615.2839966,0.0,17.0,clay,CLAY,,,,,CLAY,1.0,615.2839966,598.2839966
37,121332166399.99998,38.4553090004,-90.1974590004,494.2609863,0.0,26.0,overdrift,DRIFT,,,,,GENERIC,1.0,494.2609863,468.2609863
38,121332129999.99998,38.458982999899995,-90.20217600030001,468.27899169999995,283.0,292.0,limestone,BEDROCK,,,LIMESTONE,SHALE,BEDROCK,1.0,185.27899169999995,176.27899169999995
39,121332130100.00002,38.4570879999,-90.19269099959999,626.2039795,11.0,251.0,limestone,BEDROCK,,,LIMESTONE,SHALE,BEDROCK,1.0,615.2039795,375.20397949999995
40,121332130199.99998,38.4570879999,-90.19269099959999,626.2039795,0.0,11.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,626.2039795,615.2039795
41,121332130400.00002,38.46274,-90.19410100040001,470.24899289999996,0.0,20.0,clay,CLAY,,,,,CLAY,1.0,470.24899289999996,450.24899289999996
42,121332130499.99998,38.4589399998,-90.19743800049999,487.2990112,0.0,18.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,487.2990112,469.2990112
43,121332130600.0,38.4625789997,-90.1997629998,458.2900085,0.0,17.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,458.2900085,441.2900085
44,121332130700.00003,38.454242,-90.20368799959999,453.97399900000005,0.0,40.0,clay,CLAY,,,,,CLAY,1.0,453.97399900000005,413.97399900000005
45,121332130800.0,38.454242,-90.20368799959999,453.97399900000005,0.0,40.0,clay,CLAY,,,,,CLAY,1.0,453.97399900000005,413.97399900000005
46,121332123900.00005,38.4551739997,-90.1807949999,640.0800171,0.0,85.0,no record,UNKNOWN,,,,,UNKNOWN,1.0,640.0800171,555.0800171
47,121332124799.99995,38.4527469997,-90.1840540002,664.3060303,0.0,25.0,clay,CLAY,,,,,CLAY,1.0,664.3060303,639.3060303
48,121332289800.0,38.457044999699995,-90.18791899940001,622.1729736000001,0.0,30.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,622.1729736000001,592.1729736000001
49,121632599600.0,38.4563620001,-90.18159900020001,645.1019897000001,0.0,40.0,clay,CLAY,,,,,CLAY,1.0,645.1019897000001,605.1019897000001
50,121632964899.99998,38.4587370002,-90.16917800040001,648.0419922,0.0,40.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,648.0419922,608.0419922
51,121630280199.99998,38.4521679998,-90.1683300004,655.8880005,0.0,21.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,655.8880005,634.8880005
52,121632683700.00002,38.4577810001,-90.1611219998,644.9520263999999,0.0,50.0,clay,CLAY,,,,,CLAY,1.0,644.9520263999999,594.9520263999999
53,121632694600.0,38.4533060002,-90.1715320004,646.3449707000001,0.0,18.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,646.3449707000001,628.3449707000001
54,121632649800.0,38.4617460004,-90.1507959999,640.2550049,0.0,48.0,drift,GENERIC,,,,,GENERIC,1.0,640.2550049,592.2550049
55,121632591000.0,38.4614729997,-90.1594630005,630.7810059,0.0,36.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,630.7810059,594.7810059
56,121632694099.99998,38.458564,-90.14868899950001,645.6530151000001,0.0,44.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,645.6530151000001,601.6530151000001
57,121632694499.99998,38.4549649998,-90.1532350001,654.8959961,0.0,23.0,overdrift,DRIFT,,,,,GENERIC,1.0,654.8959961,631.8959961
58,121630321299.99997,38.4631849996,-90.1477550005,637.8599853999999,0.0,40.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,637.8599853999999,597.8599853999999
59,121632732099.99995,38.4550200003,-90.1577569996,642.559021,0.0,51.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,642.559021,591.559021
60,121632631599.99998,38.4600930001,-90.13475200040001,642.7249756,0.0,70.0,clay,CLAY,,,,,CLAY,1.0,642.7249756,572.7249756
61,121632405899.99998,38.4631659999,-90.1204500001,621.5960083,0.0,22.0,overburden,DRIFT,,,,,GENERIC,1.0,621.5960083,599.5960083
62,121633022800.0,38.4597460003,-90.129588,646.7789917,0.0,16.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,646.7789917,630.7789917
63,121632663500.00002,38.4613499999,-90.1181899999,616.3939819,0.0,70.0,clay,CLAY,,,,,CLAY,1.0,616.3939819,546.3939819
64,121630282999.99995,38.4625819998,-90.11962299970001,621.5889892999999,0.0,3.0,topsoil,SOIL,,,,,SOIL,1.0,621.5889892999999,618.5889892999999
65,121632710300.00002,38.4613240002,-90.1159150005,608.9240112000001,0.0,28.0,overdrift,DRIFT,,,,,GENERIC,1.0,608.9240112000001,580.9240112000001
66,121630333100.00003,38.4621910003,-90.1084900005,606.6849976,0.0,32.0,clay,CLAY,,,,,CLAY,1.0,606.6849976,574.6849976
67,121632631699.99995,38.4610869996,-90.11372500060001,584.348999,0.0,46.0,overburden,DRIFT,,,,,GENERIC,1.0,584.348999,538.348999
68,121332109400.00002,38.4673390002,-90.234052,407.79599,0.0,40.0,overburden,DRIFT,,,,,GENERIC,1.0,407.79599,367.79599
69,121330045000.0,38.473682000100005,-90.2328839998,425.6459961,0.0,7.0,"silty clay brown, rust, damp",,,,,,,,425.6459961,418.6459961
70,121330043999.99998,38.466923,-90.2337839995,407.6600037,0.0,75.0,sandy clay,CLAY WITH SAND,,,,,SAND AND CLAY MIX,1.0,407.6600037,332.6600037
71,121332160400.00002,38.4647009997,-90.23762400049999,406.1359863,0.0,34.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,406.1359863,372.1359863
72,121332165900.00002,38.473695000300005,-90.2400490002,404.96899410000003,0.0,30.0,fine gray sand,SAND,,,,,SAND,1.0,404.96899410000003,374.96899410000003
73,121332166000.0,38.4646599995,-90.24230800049999,404.5559998,0.0,15.0,clay,CLAY,,,,,CLAY,1.0,404.5559998,389.5559998
74,121332129499.99998,38.4634639997,-90.2445179995,403.7170105,0.0,1.0,topsoil,SOIL,,,,,SOIL,1.0,403.7170105,402.7170105
75,121332262800.0,38.4664130003,-90.2280549995,410.62100219999996,0.0,24.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,410.62100219999996,386.62100219999996
76,121330044899.99998,38.4727339999,-90.2268759999,431.6380005,0.0,4.0,"clayey silt brown, organics",,,,,,,,431.6380005,427.6380005
77,121332337000.00002,38.4659440004,-90.22655599980001,412.6570129,0.0,20.0,brown / gray silty clay,,,,,,,,412.6570129,392.6570129
78,121332317799.99998,38.4695010003,-90.2179080001,474.01199339999994,0.0,9.0,"Peoria Silt, yellow-brown to brown, silt loam, containing modern soil (Alfisol) at top (hillside excavation)",,,,,,,,474.01199339999994,465.01199339999994
79,121332318999.99998,38.4662590001,-90.20675499990001,444.44198610000007,0.0,12.0,"Cahokia Fm., ?; silt loam to silty clay loam, brown mottled with gray and some red-brown colors, leached, Mn stains common",,,,,,,,444.44198610000007,432.44198610000007
80,121332274899.99998,38.4653240002,-90.21720400049999,461.2980041999999,0.0,4.0,"Peoria Silt; sil; 2.5Y 5/3-5/4; weak brown to grey banding; some Mn stains, leached CB hor., A & B and upper C horizons (perhaps 5' ?)Â  have been stripped for borrow material in past",,,,,,,,461.2980041999999,457.2980041999999
81,121630174400.00002,38.4670210003,-90.19144200049999,542.8530272999999,0.0,237.0,white limestone much chert,,,,,,,,542.8530272999999,305.8530272999999
82,121332319199.99998,38.4644010003,-90.1994989994,494.946991,0.0,10.0,"Peoria Silt, brown, silt loam, massive to weak soil structure",,,,,,,,494.946991,484.946991
83,121630174401.0,38.4634039997,-90.1914629995,567.4000244,0.0,9.0,soil clay & gravel,CLAY AND GRAVEL,,,,,CLAY AND GRAVEL MIX,-1.0,567.4000244,558.4000244
84,121633123599.99998,38.4699809998,-90.1923140003,563.6439819,0.0,8.0,brown sticky clay,CLAY,BROWN,STICKY,,,CLAY,-1.0,563.6439819,555.6439819
85,121332079399.99998,38.469815,-90.19965499979999,468.52600099999995,0.0,40.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,468.52600099999995,428.52600099999995
86,121332130300.00002,38.464387000100004,-90.19973500050001,495.32998660000004,0.0,15.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,495.32998660000004,480.32998660000004
87,121332339600.0,38.4698019999,-90.1970110001,518.4920043999999,0.0,29.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,518.4920043999999,489.4920043999999
88,121632722400.00002,38.467982000300005,-90.1973259999,494.0339966,0.0,65.0,overdrift,DRIFT,,,,,GENERIC,1.0,494.0339966,429.0339966
89,121630278099.99997,38.4642980002,-90.1902749997,599.6129761,0.0,16.0,yellow clay,CLAY,YELLOW,,,,CLAY,1.0,599.6129761,583.6129761
90,121632738100.00002,38.4734769999,-90.1972919998,501.8640137,0.0,40.0,sand & gravel,SAND AND GRAVEL,,,,,SAND AND GRAVEL,1.0,501.8640137,461.8640137
91,121630172700.00002,38.4671959998,-90.18433300049999,508.33898930000004,0.0,19.0,clay brown soft,CLAY,BROWN,SOFT,,,CLAY,-1.0,508.33898930000004,489.33898930000004
92,121630172500.00002,38.470059000300004,-90.1889850001,612.3699951,585.0,653.0,slate,BEDROCK,,,SLATE,,BEDROCK,1.0,27.369995099999983,-40.63000490000002
93,121630172599.99998,38.4669010002,-90.1823630003,494.65600589999997,0.0,837.0,Trenton limestone,BEDROCK,,,LIMESTONE,,BEDROCK,-1.0,494.65600589999997,-342.34399410000003
94,121630174300.00003,38.47003,-90.185965,680.3380127,0.0,19.0,soil brown soft,SOIL,BROWN,SOFT,,,SOIL,-1.0,680.3380127,661.3380127
95,121633065999.99998,38.4737619998,-90.1778920002,653.2459717,0.0,15.0,"Peoria and Roxana Silts, oxidized colors, silt loam",,,,,,,,653.2459717,638.2459717
96,121633066100.00003,38.4719119998,-90.1779029997,484.5,0.0,9.0,"Peoria Silt, silt loam, yellow-brown to brown, containing modern soil",,,,,,,,484.5,475.5
97,121632962899.99997,38.4682790002,-90.18143500020001,485.1000061000001,0.0,16.0,Salem,,,,,,,,485.1000061000001,469.1000061000001
98,121633000200.0,38.4714629996,-90.18085099970001,569.5300292999999,0.0,15.0,brown clay,CLAY,BROWN,,,,CLAY,1.0,569.5300292999999,554.5300292999999
99,121630331899.99998,38.4641310002,-90.16212899969999,609.1890258999999,906.0,946.0,lime shaley gray,,,,,,,,-296.81097410000007,-336.81097410000007
