LITHOLOGY	COARSECODE
BEDROCK	DoNotUse
FIRECLAY	DoNotUse
VOID	DoNotUse
CLAY AND STONE	Fine
DIRT AND BEDROCK	DoNotUse
DIRT AND STONE	DoNotUse
GRAVEL AND STONE	Coarse
BOULDER	Coarse
BOULDERS AND CLAY	Fine
GRAVEL WITH BOULDERS	Coarse
CLAY	Fine
DIRT AND CLAY	Fine
CLAY AND GRAVEL	Fine
CLAY WITH GRAVEL	Fine
MUD AND GRAVEL	Fine
CLAY AND SAND	Fine
CLAY WITH SAND	Fine
MUD AND SAND	Fine
CLAY WITH GRAVEL SEAMS	Fine
CLAY WITH SAND STREAKS	Fine
FILL	DoNotUse
DRIFT	DoNotUse
MUD	DoNotUse
DIRT AND GRAVEL	Coarse
GRAVEL	Coarse
GRAVEL WITH SAND	Coarse
GRAVEL AND CLAY	Fine
GRAVEL WITH CLAY	Fine
GRAVEL WITH CLAY STREAKS	Fine
MARL	Fine
ORGANIC MATERIAL	Fine
DIRT AND SAND	Coarse
SAND	Coarse
SAND AND CLAY	Fine
SAND WITH CLAY	Fine
SAND AND GRAVEL	Coarse
SAND WITH GRAVEL	Coarse
SAND WITH CLAY STREAKS	Fine
SILT	Fine
SILT AND GRAVEL	Fine
SILT AND SAND	Fine
SILT WITH SAND SEAMS	Fine
DIRT	DoNotUse
SOIL	DoNotUse
UNKNOWN	DoNotUse
